pref_code,pref_name,muni_code,muni_name,party_name,votes,valid_votes_muni
01,北海道,01101,札幌市中央区,日本共産党,6064,121173
01,北海道,01101,札幌市中央区,国民民主党,12849,121173
01,北海道,01101,札幌市中央区,中道改革連合,24037,121173
01,北海道,01101,札幌市中央区,日本維新の会,5883,121173
01,北海道,01101,札幌市中央区,社会民主党,1580,121173
01,北海道,01101,札幌市中央区,参政党,8510,121173
01,北海道,01101,札幌市中央区,自由民主党,40847,121173
01,北海道,01101,札幌市中央区,れいわ新選組,3404,121173
01,北海道,01101,札幌市中央区,チームみらい,11522,121173
01,北海道,01101,札幌市中央区,日本保守党,4285,121173
01,北海道,01101,札幌市中央区,減税日本・ゆうこく連合,2192,121173
01,北海道,01102,札幌市北区,日本共産党,7907,129147
01,北海道,01102,札幌市北区,国民民主党,13202,129147
01,北海道,01102,札幌市北区,中道改革連合,28919,129147
01,北海道,01102,札幌市北区,日本維新の会,6804,129147
01,北海道,01102,札幌市北区,社会民主党,1724,129147
01,北海道,01102,札幌市北区,参政党,9528,129147
01,北海道,01102,札幌市北区,自由民主党,42361,129147
01,北海道,01102,札幌市北区,れいわ新選組,3715,129147
01,北海道,01102,札幌市北区,チームみらい,9464,129147
01,北海道,01102,札幌市北区,日本保守党,3685,129147
01,北海道,01102,札幌市北区,減税日本・ゆうこく連合,1838,129147
01,北海道,01103,札幌市東区,日本共産党,8130,115760
01,北海道,01103,札幌市東区,国民民主党,11864,115760
01,北海道,01103,札幌市東区,中道改革連合,24507,115760
01,北海道,01103,札幌市東区,日本維新の会,6290,115760
01,北海道,01103,札幌市東区,社会民主党,1343,115760
01,北海道,01103,札幌市東区,参政党,8630,115760
01,北海道,01103,札幌市東区,自由民主党,38911,115760
01,北海道,01103,札幌市東区,れいわ新選組,3380,115760
01,北海道,01103,札幌市東区,チームみらい,7653,115760
01,北海道,01103,札幌市東区,日本保守党,3396,115760
01,北海道,01103,札幌市東区,減税日本・ゆうこく連合,1656,115760
01,北海道,01104,札幌市白石区,日本共産党,5588,94741
01,北海道,01104,札幌市白石区,国民民主党,10327,94741
01,北海道,01104,札幌市白石区,中道改革連合,21228,94741
01,北海道,01104,札幌市白石区,日本維新の会,4342,94741
01,北海道,01104,札幌市白石区,社会民主党,1080,94741
01,北海道,01104,札幌市白石区,参政党,7742,94741
01,北海道,01104,札幌市白石区,自由民主党,30563,94741
01,北海道,01104,札幌市白石区,れいわ新選組,3053,94741
01,北海道,01104,札幌市白石区,チームみらい,6430,94741
01,北海道,01104,札幌市白石区,日本保守党,2964,94741
01,北海道,01104,札幌市白石区,減税日本・ゆうこく連合,1424,94741
01,北海道,01108,札幌市厚別区,日本共産党,3739,65460
01,北海道,01108,札幌市厚別区,国民民主党,6455,65460
01,北海道,01108,札幌市厚別区,中道改革連合,17427,65460
01,北海道,01108,札幌市厚別区,日本維新の会,2950,65460
01,北海道,01108,札幌市厚別区,社会民主党,955,65460
01,北海道,01108,札幌市厚別区,参政党,3947,65460
01,北海道,01108,札幌市厚別区,自由民主党,21098,65460
01,北海道,01108,札幌市厚別区,れいわ新選組,1779,65460
01,北海道,01108,札幌市厚別区,チームみらい,4586,65460
01,北海道,01108,札幌市厚別区,日本保守党,1675,65460
01,北海道,01108,札幌市厚別区,減税日本・ゆうこく連合,849,65460
01,北海道,01105,札幌市豊平区,日本共産党,5454,108426
01,北海道,01105,札幌市豊平区,国民民主党,12196,108426
01,北海道,01105,札幌市豊平区,中道改革連合,23264,108426
01,北海道,01105,札幌市豊平区,日本維新の会,5192,108426
01,北海道,01105,札幌市豊平区,社会民主党,1316,108426
01,北海道,01105,札幌市豊平区,参政党,8154,108426
01,北海道,01105,札幌市豊平区,自由民主党,36843,108426
01,北海道,01105,札幌市豊平区,れいわ新選組,3134,108426
01,北海道,01105,札幌市豊平区,チームみらい,8031,108426
01,北海道,01105,札幌市豊平区,日本保守党,3261,108426
01,北海道,01105,札幌市豊平区,減税日本・ゆうこく連合,1581,108426
01,北海道,01110,札幌市清田区,日本共産党,2743,53814
01,北海道,01110,札幌市清田区,国民民主党,5099,53814
01,北海道,01110,札幌市清田区,中道改革連合,13894,53814
01,北海道,01110,札幌市清田区,日本維新の会,2438,53814
01,北海道,01110,札幌市清田区,社会民主党,594,53814
01,北海道,01110,札幌市清田区,参政党,4050,53814
01,北海道,01110,札幌市清田区,自由民主党,18289,53814
01,北海道,01110,札幌市清田区,れいわ新選組,1534,53814
01,北海道,01110,札幌市清田区,チームみらい,3179,53814
01,北海道,01110,札幌市清田区,日本保守党,1303,53814
01,北海道,01110,札幌市清田区,減税日本・ゆうこく連合,691,53814
01,北海道,01106,札幌市南区,日本共産党,3831,67765
01,北海道,01106,札幌市南区,国民民主党,6001,67765
01,北海道,01106,札幌市南区,中道改革連合,16137,67765
01,北海道,01106,札幌市南区,日本維新の会,2772,67765
01,北海道,01106,札幌市南区,社会民主党,895,67765
01,北海道,01106,札幌市南区,参政党,4690,67765
